uid,trace
2075,-5.396379 34.16452 0.0;-5.396368 34.1645 0.0;-5.396277 34.16453 0.0;-5.396253 34.16453 0.0;-5.396166 34.16469 0.0;-5.396186 34.16479 0.0;-5.396299 34.16481 0.0;-5.396406 34.16475 0.0;-5.396295 34.1646 0.0;-5.39638 34.16453 0.0;-5.396384 34.16453 0.0;-5.396379 34.16452 0.0;-5.396379 34.16452 0.0;
2076,-5.448097 34.04652 0.0;-5.447895 34.04642 0.0;-5.448148 34.04593 0.0;-5.448266 34.04596 0.0;-5.44814 34.0465 0.0;-5.448097 34.04652 0.0;-5.448097 34.04652 0.0;
2077,-4.651755 34.88271 0.0;-4.651776 34.88255 0.0;-4.652315 34.88277 0.0;-4.651999 34.88341 0.0;-4.651484 34.88318 0.0;-4.651755 34.88271 0.0;
2078,-4.781005 35.00113 0.0;-4.78102 35.00097 0.0;-4.781312 35.00102 0.0;-4.781295 35.00116 0.0;-4.781029 35.00112 0.0;-4.781789 35.00124 0.0;-4.781805 35.00107 0.0;-4.782193 35.00103 0.0;-4.782198 35.00116 0.0;-4.781816 35.00122 0.0;-4.781005 35.00113 0.0;
2079,-4.756206 35.05919 0.0;-4.756094 35.05931 0.0;-4.755924 35.0591 0.0;-4.755927 35.05909 0.0;-4.755934 35.05908 0.0;-4.755688 35.05875 0.0;-4.755779 35.05868 0.0;-4.755834 35.05862 0.0;-4.755963 35.05855 0.0;-4.756291 35.05895 0.0;-4.756318 35.05913 0.0;-4.756206 35.05919 0.0;-4.756206 35.05919 0.0;
2080,-4.855044 34.9673 0.0;-4.854271 34.96723 0.0;-4.854039 34.96821 0.0;-4.854075 34.96822 0.0;-4.854239 34.96796 0.0;-4.855072 34.96788 0.0;-4.85503 34.96734 0.0;-4.855044 34.9673 0.0;-4.855044 34.9673 0.0;
2081,-4.611946 34.68553 0.0;-4.612588 34.68524 0.0;-4.612246 34.68575 0.0;-4.611946 34.68553 0.0;-4.611946 34.68553 0.0;
2082,-4.657145 34.6727 0.0;-4.657054 34.67276 0.0;-4.657567 34.67334 0.0;-4.657636 34.67326 0.0;-4.657461 34.67302 0.0;-4.657318 34.67285 0.0;-4.657138 34.67271 0.0;-4.657145 34.6727 0.0;-4.657145 34.6727 0.0;
2083,-4.627209 34.84064 0.0;-4.627152 34.84053 0.0;-4.627402 34.84031 0.0;-4.627545 34.84051 0.0;-4.627209 34.84064 0.0;-4.627209 34.84064 0.0;-4.627209 34.84064 0.0;
2084,-4.704889 34.76035 0.0;-4.70504 34.76032 0.0;-4.7053 34.76041 0.0;-4.705425 34.76043 0.0;-4.705438 34.76055 0.0;-4.70519 34.76057 0.0;-4.704947 34.76037 0.0;-4.704889 34.76035 0.0;-4.704889 34.76035 0.0;
2085,-4.802917 34.89404 0.0;-4.802837 34.89471 0.0;-4.802466 34.895 0.0;-4.802357 34.89489 0.0;-4.802537 34.89434 0.0;-4.802917 34.89404 0.0;-4.802917 34.89404 0.0;
2086,-4.723177 34.87665 0.0;-4.72263 34.87637 0.0;-4.722699 34.8764 0.0;-4.722616 34.87653 0.0;-4.72233 34.8767 0.0;-4.72201 34.87693 0.0;-4.721612 34.87715 0.0;-4.721378 34.87727 0.0;-4.721305 34.87713 0.0;-4.72093 34.87724 0.0;-4.720453 34.8774 0.0;-4.720322 34.87714 0.0;-4.720233 34.87683 0.0;-4.721058 34.8765 0.0;-4.721356 34.87698 0.0;-4.722043 34.87674 0.0;-4.722836 34.87623 0.0;-4.723177 34.87665 0.0;-4.723177 34.87665 0.0;
2087,-4.803313 34.84192 0.0;-4.803309 34.84192 0.0;-4.803306 34.84192 0.0;-4.803285 34.84191 0.0;-4.803285 34.84191 0.0;-4.80327 34.84191 0.0;-4.803017 34.84198 0.0;-4.803002 34.84201 0.0;-4.802891 34.84198 0.0;-4.802873 34.84187 0.0;-4.802887 34.84185 0.0;-4.803184 34.84172 0.0;-4.80327 34.84188 0.0;-4.803313 34.84192 0.0;-4.803313 34.84192 0.0;
2088,-4.828586 34.8492 0.0;-4.828572 34.84914 0.0;-4.828849 34.84893 0.0;-4.828517 34.8484 0.0;-4.828377 34.8482 0.0;-4.828287 34.8482 0.0;-4.828324 34.84827 0.0;-4.828381 34.84826 0.0;-4.828586 34.8492 0.0;-4.828586 34.8492 0.0;
2089,-4.73415 34.85786 0.0;-4.733967 34.85769 0.0;-4.734558 34.85709 0.0;-4.73469 34.85721 0.0;-4.73415 34.85786 0.0;-4.73415 34.85786 0.0;
2090,-4.559795 34.55355 0.0;-4.560415 34.55309 0.0;-4.560893 34.5529 0.0;-4.561124 34.55354 0.0;-4.560281 34.55394 0.0;-4.560016 34.55385 0.0;-4.559795 34.55355 0.0;-4.559795 34.55355 0.0;
2091,-4.506753 34.64142 0.0;-4.506779 34.64145 0.0;-4.506956 34.64171 0.0;-4.507069 34.64208 0.0;-4.507034 34.64213 0.0;-4.506284 34.6424 0.0;-4.506093 34.64214 0.0;-4.506762 34.6414 0.0;-4.506753 34.64142 0.0;
